Subject,Vowel,Stressed,Word.position,Sentence.position,Word,Region,Pitch,Duration,Intensity,Pitch_z,Duration_z,Intensity_z
1,a,stressed,first,initial,Acha,XJ,151.5452698237315,0.12665464712792,64.79808594324095,-0.9002917240292503,0.5918328973017938,-0.08486071946196504
1,a,stressed,first,initial,Ara,XJ,150.672691918783,0.169385678746922,65.5551562719657,-0.987022094299438,1.7644367326918895,0.22812752007889195
1,a,stressed,first,initial,BAla,XJ,154.1206682080095,0.08604187867148749,63.1699597742155,-0.64430855714531,-0.5226426080507465,-0.7579611225011988
1,a,stressed,first,initial,BAza,XJ,151.9699696714655,0.099360503683443,61.656112911559845,-0.8580784444598636,-0.15715948771820173,-1.3838161408522203
1,a,stressed,first,initial,CHAsa,XJ,159.202895420669,0.13063397993937,67.35434688465264,-0.13915773284476815,0.7010317801793358,0.9719494360848726
1,a,stressed,first,initial,DAcha,XJ,154.501959635456,0.130547172265984,63.6229527218814,-0.6064098818571324,0.698649646940398,-0.570684643903501
1,a,stressed,first,initial,DAka,XJ,151.3132107232425,0.1461506871761265,63.5506518324302,-0.923357368478689,1.126833585777561,-0.6005752990354846
1,a,stressed,first,medial,Acha,XJ,150.317169895632,0.1534002302371495,64.69542786435694,-1.0223594051942302,1.3257719609138399,-0.12730165284086778
1,a,stressed,first,medial,Ara,XJ,157.543283702879,0.1617603325824625,66.90592058362837,-0.3041157703705545,1.5551857546591903,0.7865609018943686
1,a,stressed,first,medial,BAla,XJ,156.31239839941432,0.07840532672793933,63.281678396131866,-0.42646030548220465,-0.7322010895309415,-0.7117743767381812
1,a,stressed,first,medial,BAza,XJ,158.26198622794,0.09709026712796767,64.18611210162614,-0.23267992978926105,-0.21945819643950878,-0.33786312632516413
1,a,stressed,first,medial,CHAsa,XJ,155.40981396281848,0.129431388248092,64.6775824312368,-0.5161731917954163,0.6680308537759168,-0.13467931708710262
1,a,stressed,first,medial,DAcha,XJ,152.1540097133855,0.141845077266454,65.3732537032648,-0.8397856812696182,1.0086811681436645,0.1529253062481665
1,a,stressed,first,medial,DAka,XJ,147.56134248033368,0.15034525131384266,62.16880275759177,-1.2962764168147114,1.2419387402594502,-1.1718597528501933
1,a,stressed,second,initial,aCHA,XJ,177.291777283571,0.10943461925304633,68.47796243718103,1.658796825534457,0.11928940919602253,1.4364749106190209
1,a,stressed,second,initial,aRA,XJ,170.15788127599333,0.18137676259569066,68.0692019819061,0.9497192306316461,2.0934901250115283,1.2674850421269832
1,a,stressed,second,initial,baHA,XJ,175.75943756503,0.140341655036712,67.2339555365886,1.5064890597578082,0.9674249988911943,0.9221772093090742
1,a,stressed,second,initial,baLA,XJ,172.35604637372302,0.1798483258159625,67.56769996108781,1.168207083418095,2.0515475188502594,1.0601539281385397
1,a,stressed,second,initial,chaTAQ,XJ,181.7706398580495,0.0824251676864785,67.3331316068579,2.103975883210374,-0.6218906021158632,0.9631786096551401
1,a,stressed,second,initial,daDA,XJ,161.6545008434365,0.130309301921197,65.35764933224546,0.1045209631973594,0.692122126586811,0.1464741425594361
1,a,stressed,second,initial,daLA,XJ,176.4750501717175,0.1310567663888005,68.46500369922025,1.5776177761693053,0.7126336768190767,1.4311175053329757
1,a,stressed,second,initial,doQA,XJ,183.40817120520848,0.117397241452575,68.0982372942472,2.2667392299129445,0.33779574937007023,1.2794888295551152
1,a,stressed,second,medial,aCHA,XJ,169.96246475764949,0.051947441658853503,61.729077078588375,0.93029569618646335,-1.4582452858176533,-1.3536512733077577
1,a,stressed,second,medial,aRA,XJ,158.783470247048,0.09877670403519634,66.07516473863123,-0.18084673322225644,-0.17317982892449746,0.443109574390993
1,a,stressed,second,medial,baHA,XJ,159.6944612195565,0.1278754873074395,64.3572981606775,-0.09029827455698387,0.6253345896940343,-0.2670913350879146
1,a,stressed,second,medial,baLA,XJ,154.54940171718525,0.125964830490081,65.3304072848954,-0.6016943495345373,0.5729032903019432,0.13521172727505226
1,a,stressed,second,medial,chaTAQ,XJ,175.730762926343,0.0556237169632555,66.18620433504555,1.5036389279626037,-1.3573627571596114,0.48901559722982935
1,a,stressed,second,medial,daDA,XJ,171.525855265164,0.1065639083839295,68.56765455091909,1.0856897725487709,0.04051278134776065,1.473555450846847
1,a,stressed,second,medial,daLA,XJ,155.35934669739498,0.1068949895397005,66.80304975151236,-0.5211894139480522,0.049598146675328005,0.7440320120112738
1,a,stressed,second,medial,doQA,XJ,166.5150053471435,0.0668592254004435,66.4594883061269,0.5876335344826674,-1.049043491585275,0.6019967374992768
1,a,unstressed,first,initial,aCHA,XJ,152.77887632347966,0.07758118048151368,64.9137695885569,-0.7776767140867497,-0.7548169032116796,-0.037034752550675
1,a,unstressed,first,initial,aRA,XJ,149.58721961291235,0.13446460642687066,63.14587907722284,-1.0949132229565977,0.8061499376635727,-0.7679165713844563
1,a,unstressed,first,initial,baHA,XJ,152.154210779736,0.124489109285057,66.4562279411553,-0.8397656961669385,0.5324072788691622,0.6006488364470203
1,a,unstressed,first,initial,baLA,XJ,147.73458001024,0.111525774676677,63.7202460357276,-1.2790573753649348,0.17667386206880792,-0.5304616132755369
1,a,unstressed,first,initial,chaTAQ,XJ,159.85748569477852,0.0520668486829235,63.47172914790135,-0.07409436540580865,-1.454968577320526,-0.6332035386498038
1,a,unstressed,first,initial,daDA,XJ,149.8457013403875,0.097392339413387,61.62506890874354,-1.0692212866780588,-0.21116887818466373,-1.396650361691574
