Subject,Syllable,Type,Role,Sentence,Mean.f0,Duration,Intensity,C.Mean.f0,C.Duration,C.Intensity,Num.Syls,HasCoda,Position
2,ba,relative,nonsubj,Ziba bilidighan Qurban ketti,139.7639089,0.19330351,79.55544637,-0.8890347844858889,-1.2176982890083798,-0.6959693614338421,10,FALSE,initial
2,ba,simple,subj,Ziba mangidu,148.4523173,0.220348686,81.30750183,0.7383554537882401,-0.600665899188957,0.8244990000750692,5,FALSE,initial
2,ba,simple,subj,Ziba yighlaptu,144.5213616,0.257961792,79.99993745,0.00206422083146143,0.2574725238596233,-0.3102312158428731,5,FALSE,initial
2,ba,simple,subj,Ziba yüridu,145.1648629,0.266582296,81.28714675,0.12259581715199179,0.45414827056461354,0.8068344592870823,4,FALSE,initial
3,dil,relative,nonsubj,Adil bilidighan Ziba ketti,214.7539173,0.170014087,78.58764464,-0.5562152876670651,-1.4375324144333184,-0.34973351654106666,9,TRUE,initial
3,ban,simple,subj,Qurban bardi,219.6928023,0.278468738,77.67219007,-0.3012745310994435,1.5738889565788419,-0.7029967763466226,4,TRUE,initial
3,ban,adjunct,nonsubj,Qurban bilen Ziba bardi,205.802445,0.23159159000000001,78.73430996,-1.0182821550989063,0.27226801180903304,-0.29313707719658977,8,TRUE,initial
3,ban,adjunct,nonsubj,Qurban bilen Ziba mangidu,214.4219392,0.254051978,79.05269685,-0.5733516955765193,0.8959175445932478,-0.17027528336584466,9,TRUE,initial
3,ban,adjunct,nonsubj,Qurban bilen Ziba yighlaptu,238.5037792,0.267228085,81.34877464,0.6697310061143303,1.2617737788873669,0.7157544022607627,9,TRUE,initial
3,ban,adjunct,nonsubj,Qurban bilen Ziba yüridu,227.1584656,0.241502639,80.42214978,0.08409622565661048,0.547464552414273,0.35818065760135237,8,TRUE,initial
3,ban,simple,subj,Qurban mangidu,230.9406177,0.219725834,81.56940088,0.279327480854457,-0.057204176540139616,0.8008914994965589,5,TRUE,initial
3,ban,simple,subj,Qurban yighlaptu,199.3343216,0.25224525,79.74912506,-1.352160808513338,0.845750776634111,0.09846825426830301,5,TRUE,initial
3,ban,simple,subj,Qurban yüridu,232.8654503,0.217080785,80.72902662,0.37868559089549314,-0.13064830284113502,0.4766008571501176,4,TRUE,initial
3,ba,simple,subj,Ziba bardi,227.055695,0.202062445,80.54369903,0.07879130065493259,-0.5476571596869954,0.40508509796251757,4,FALSE,initial
3,ba,adjunct,nonsubj,Ziba bilen Qurban bardi,203.5042839,0.213666069,80.79561615,-1.1369111431292576,-0.22546349650523334,0.5022969814665003,8,FALSE,initial
3,ba,adjunct,nonsubj,Ziba bilen Qurban mangidu,238.2325567,0.163552533,81.25560682,0.6557307470785034,-1.6169480653633013,0.6798020252878899,9,FALSE,initial
3,ba,adjunct,nonsubj,Ziba bilen Qurban yighlaptu,244.746637,0.183639795,81.84344642,0.9919816539176457,-1.059192270529565,0.9066424826344501,9,FALSE,initial
3,ba,adjunct,nonsubj,Ziba bilen Qurban yuridu,259.1065611,0.197297633,81.9699258,1.7332278895169013,-0.6799599844469516,0.9554494027604626,9,FALSE,initial
3,ba,relative,nonsubj,Ziba bilidighan Adil ketti,216.9195338,0.202582298,80.58753093,-0.44442813146777627,-0.5332225880061114,0.4219993178319661,9,FALSE,initial
3,ba,simple,subj,Ziba mangidu,227.476146,0.277386879,80.21745654,0.10049459928197425,1.543849365994369,0.2791919195555523,5,FALSE,initial
3,ba,simple,subj,Ziba yighlaptu,236.5188332,0.17816814,82.01303269,0.5672698969802088,-1.211121751191538,0.972083849712299,5,FALSE,initial
3,ba,simple,subj,Ziba yuridu,243.5936466,0.232424693,81.56539988,0.9324653369976925,0.29540048381758033,0.799347560180725,5,FALSE,initial
4,dil,relative,nonsubj,Adil bilidighan Ziba ketti,296.3220138,0.174392106,81.16264177,1.4989734150129794,-1.098469456705323,0.1611766363708834,9,TRUE,initial
4,ban,simple,subj,Qurban bardi,253.656759,0.227409637,82.19485146,-0.7050855703841035,0.526768634981088,0.7288525591396141,4,TRUE,initial
4,ban,adjunct,nonsubj,Qurban bilen Ziba bardi,289.2626296,0.183590714,81.56526714,1.1342902729500355,-0.8164886131973267,0.3826052188179797,8,TRUE,initial
4,ban,adjunct,nonsubj,Qurban bilen Ziba mangidu,284.605873,0.266470715,82.39378807,0.8937252915582616,1.724175429875669,0.8382600998247196,9,TRUE,initial
4,ban,adjunct,nonsubj,Qurban bilen Ziba yighlaptu,302.1420756,0.260262781,81.82544089,1.7996339774774128,1.533872889995507,0.5256908486491109,9,TRUE,initial
4,ban,adjunct,nonsubj,Qurban bilen Ziba yüridu,233.9257302,0.234127261,76.9852241,-1.7243775334024192,0.7326955841335644,-2.1362436006040713,8,TRUE,initial
4,ban,simple,subj,Qurban mangidu,265.0784361,0.258805831,83.02933838,-0.11504924788781629,1.4892104812974758,1.1877885068823997,5,TRUE,initial
4,ban,simple,subj,Qurban yighlaptu,249.6138566,0.236201397,82.18533829,-0.9139392477750901,0.7962776629470439,0.7236206788244809,5,TRUE,initial
4,ban,simple,nonsubj,Qurban yüridu,261.0928797,0.187542658,82.67357146,-0.3209404686576204,-0.6953428373781626,0.992130283017455,4,TRUE,initial
4,ba,simple,subj,Ziba bardi,262.381885,0.185617096,82.4571873,-0.2543513031409192,-0.7543704203545154,0.8731272559285127,4,FALSE,initial
4,ba,adjunct,nonsubj,Ziba bilen Qurban bardi,262.9993697,0.185832039,81.98031331,-0.22245244989933083,-0.7477814007500124,0.6108647670754419,8,FALSE,initial
4,ba,adjunct,nonsubj,Ziba bilen Qurban mangidu,265.6240606,0.180197423,81.83314589,-0.0868626452877573,-0.9205090322050821,0.5299283044948643,9,FALSE,initial
